255;1340;16;0;[255, 131, 255, 35, 53, 217, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0]
255;1340;6;217;[255, 131, 255, 35, 53, 217]
53;1344;9;145;[53, 217, 174, 255, 73, 255, 143, 255, 145]
59;1354;14;174;[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
255;1359;16;255;[255, 85, 255, 175, 1, 67, 29, 0, 174, 255, 73, 255, 55, 255, 113, 255]
55;1371;17;143;[55, 255, 113, 255, 179, 0, 142, 255, 131, 255, 123, 183, 174, 255, 73, 255, 143]
59;1391;14;174;[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
36;1410;4;142;[36, 255, 107, 142]
142;1413;19;142;[142, 255, 131, 255, 89, 255, 217, 0, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0, 142]
255;1414;17;0;[255, 131, 255, 89, 255, 217, 0, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0]
255;1414;6;217;[255, 131, 255, 89, 255, 217]
59;1429;14;174;[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
67;1439;10;161;[67, 29, 0, 174, 255, 73, 255, 77, 255, 161]
59;1469;14;174;[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
255;1496;16;255;[255, 175, 4, 113, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0, 142, 255]
145;1506;20;51;[145, 255, 59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174, 255, 73, 255, 51]
59;1508;14;174;[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
0;1520;8;39;[0, 174, 255, 73, 255, 51, 255, 39]
174;1521;7;39;[174, 255, 73, 255, 51, 255, 39]
255;1526;15;255;[255, 39, 47, 116, 142, 255, 131, 255, 35, 53, 217, 174, 255, 73, 255]
142;1530;18;142;[142, 255, 131, 255, 35, 53, 217, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0, 142]
255;1531;16;0;[255, 131, 255, 35, 53, 217, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0]
255;1531;6;217;[255, 131, 255, 35, 53, 217]
53;1535;9;145;[53, 217, 174, 255, 73, 255, 143, 255, 145]
59;1545;14;174;[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
255;1550;16;255;[255, 85, 255, 175, 1, 67, 29, 0, 174, 255, 73, 255, 55, 255, 113, 255]
55;1562;17;143;[55, 255, 113, 255, 179, 0, 142, 255, 131, 255, 123, 183, 174, 255, 73, 255, 143]
59;1582;14;174;[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
36;1601;4;142;[36, 255, 107, 142]
142;1604;19;142;[142, 255, 131, 255, 89, 255, 217, 0, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0, 142]
255;1605;17;0;[255, 131, 255, 89, 255, 217, 0, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0]
255;1605;6;217;[255, 131, 255, 89, 255, 217]
59;1620;14;174;[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
67;1630;10;161;[67, 29, 0, 174, 255, 73, 255, 77, 255, 161]
59;1660;14;174;[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
51;1719;14;85;[51, 0, 255, 73, 255, 143, 255, 145, 255, 59, 0, 131, 255, 85]
0;1746;19;0;[0, 253, 73, 255, 143, 255, 145, 255, 59, 0, 255, 255, 85, 255, 175, 1, 67, 29, 0]
0;1755;7;1;[0, 255, 255, 85, 255, 175, 1]
73;1766;20;1;[73, 255, 93, 253, 131, 255, 51, 0, 250, 228, 255, 145, 255, 59, 0, 255, 255, 85, 175, 1]
255;1778;20;255;[255, 59, 0, 255, 255, 85, 175, 1, 67, 29, 0, 174, 255, 73, 255, 93, 142, 255, 131, 255]
51;1798;7;255;[51, 0, 245, 73, 255, 143, 255]
0;1819;16;175;[0, 213, 73, 255, 21, 95, 58, 38, 254, 177, 0, 142, 255, 131, 255, 175]
255;1840;16;29;[255, 143, 255, 145, 255, 59, 0, 252, 131, 255, 85, 255, 175, 1, 67, 29]
0;1856;8;39;[0, 174, 255, 73, 255, 51, 255, 39]
174;1857;7;39;[174, 255, 73, 255, 51, 255, 39]
255;1867;6;217;[255, 131, 255, 35, 53, 217]
59;1879;14;174;[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
