WRONG_SUM! 31/07 14:18:50 SUM: 232  	[255, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:50 SUM: 233  	[233, 224]
WRONG_SUM! 31/07 14:18:50 SUM: 62  	[85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:50 SUM: 228  	[255, 187, 250, 51, 253, 187]
WRONG_SUM! 31/07 14:18:50 SUM: 218  	[255, 233, 192, 190, 252, 252, 175, 192, 13, 0]
WRONG_SUM! 31/07 14:18:50 SUM: 221  	[85, 107, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:50 SUM: 137  	[252, 161, 253, 239, 0]
WRONG_SUM! 31/07 14:18:50 SUM: 253  	[253, 192]
WRONG_SUM! 31/07 14:18:50 SUM: 61  	[255, 85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:50 SUM: 0  	[254]
WRONG_SUM! 31/07 14:18:50 SUM: 232  	[255, 233, 224]
WRONG_SUM! 31/07 14:18:50 SUM: 224  	[85, 191, 13, 255, 145, 255, 143, 255, 163, 167, 214, 209, 96, 0, 213, 175, 192, 13, 0]
WRONG_SUM! 31/07 14:18:50 SUM: 233  	[233, 224]
WRONG_SUM! 31/07 14:18:51 SUM: 126  	[85, 255, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:51 SUM: 233  	[233, 224]
WRONG_SUM! 31/07 14:18:51 SUM: 62  	[85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:51 SUM: 102  	[55, 255, 51, 253, 187]
WRONG_SUM! 31/07 14:18:51 SUM: 164  	[255, 233, 192, 190, 252, 248, 175, 192, 13, 0, 255, 254, 212, 254, 255, 71]
WRONG_SUM! 31/07 14:18:51 SUM: 61  	[255, 85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:51 SUM: 129  	[248, 161, 253, 235, 0]
WRONG_SUM! 31/07 14:18:51 SUM: 233  	[233, 192]
WRONG_SUM! 31/07 14:18:51 SUM: 56  	[255, 21, 95, 180, 19, 254, 5]
WRONG_SUM! 31/07 14:18:51 SUM: 61  	[255, 85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:51 SUM: 0  	[254]
WRONG_SUM! 31/07 14:18:51 SUM: 232  	[255, 233, 224]
WRONG_SUM! 31/07 14:18:51 SUM: 224  	[85, 191, 13, 255, 145, 255, 143, 255, 163, 167, 214, 209, 96, 0, 213, 175, 192, 13, 0]
WRONG_SUM! 31/07 14:18:51 SUM: 233  	[233, 224]
WRONG_SUM! 31/07 14:18:52 SUM: 232  	[255, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:52 SUM: 233  	[233, 224]
